ride_id,distance_km,duration_min,booking_time,hours,day_of_week,months,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,weather,traffic_level,available_drivers,area_demand,vehicle_types,user_rating,user_previous_rides,base_price,constrained_price
R000000,2.7,11.0,2025-02-16 13:16:43.337967,13,6,2,21.034967497274486,105.80791403974101,21.05141891291615,105.80057833166642,rainy,4,22,56,7_seater_car,4.5,1,81000.0,103000.0
R000001,1.8,10.0,2025-02-17 03:40:58.337967,3,0,2,21.00064075268674,105.83135793022706,21.04344149720854,105.77827656068055,rainy,3,18,40,4_seater_car,4.6,44,36000.0,42000.0
R000002,5.6,27.0,2025-02-28 08:12:24.337967,8,4,2,21.07677371133403,105.83292973338673,21.014776883073594,105.75153860999725,sunny,9,16,45,motorbike,4.3,7,56000.0,80000.0
R000003,4.2,21.0,2025-03-02 03:25:03.337967,3,6,3,21.075888054697042,105.76053134209945,21.012973399275406,105.76842961895304,rainy,4,21,42,motorbike,4.9,90,42000.0,45000.0
R000004,7.5,36.0,2025-03-03 07:25:44.337967,7,0,3,21.069515744057743,105.78347876816113,21.007394425493768,105.79529719719848,heavy_rain,7,22,32,motorbike,4.2,11,75000.0,141000.0
R000005,6.7,39.0,2025-03-11 10:01:21.337967,10,1,3,21.079477815599148,105.8021639231386,20.982999839250517,105.81282722513657,rainy,4,20,78,4_seater_car,4.6,8,134000.0,191000.0
R000006,4.4,24.0,2025-02-10 17:23:44.337967,17,0,2,21.034846743226815,105.75775363280547,21.064783056988063,105.7587971265119,rainy,6,20,56,4_seater_car,3.5,14,88000.0,143000.0
R000007,2.2,8.0,2025-03-06 18:00:42.337967,18,3,3,20.986130751921184,105.8241336793259,21.027904726679807,105.755482535719,sunny,7,17,66,motorbike,4.6,3,22000.0,33000.0
R000008,2.5,13.0,2025-03-09 23:16:47.337967,23,6,3,21.033908926964227,105.78933320644703,21.05373055989566,105.75447032852549,heavy_rain,3,10,48,7_seater_car,4.9,37,75000.0,137000.0
R000009,1.8,8.0,2025-03-11 09:56:52.337967,9,1,3,21.01528280933365,105.79886975024318,21.035256232474378,105.82056934000367,sunny,7,22,32,4_seater_car,4.0,32,36000.0,43000.0
R000010,4.2,21.0,2025-03-06 07:52:07.337967,7,3,3,21.017184459498303,105.77173569182676,21.02173914238856,105.77823116918549,heavy_rain,6,6,63,7_seater_car,3.6,34,126000.0,337000.0
R000011,3.2,16.0,2025-03-02 19:19:04.337967,19,6,3,21.051278908611515,105.75479318453641,21.07444277418475,105.83848013046445,heavy_rain,5,13,75,4_seater_car,4.2,10,64000.0,165000.0
R000012,4.1,18.0,2025-03-06 22:51:58.337967,22,3,3,21.072970051814348,105.75943137886178,21.02237450153717,105.8092316495144,rainy,3,20,35,motorbike,3.6,8,41000.0,49000.0
R000013,4.9,23.0,2025-02-18 07:03:20.337967,7,1,2,21.063153300345718,105.79683892965728,21.02729128735,105.80730817739862,rainy,7,15,29,4_seater_car,4.2,63,98000.0,140000.0
R000014,11.6,51.0,2025-03-09 19:08:44.337967,19,6,3,21.025325767776092,105.78238846230545,21.009169053904323,105.815293192134,sunny,7,18,56,luxury_car,3.9,16,696000.0,967000.0
R000015,6.0,34.0,2025-03-10 14:36:14.337967,14,0,3,21.02699872222688,105.83423170565472,21.005675211634813,105.8498160646297,heavy_rain,4,26,81,4_seater_car,4.4,43,120000.0,190000.0
R000016,4.6,23.0,2025-02-26 17:41:04.337967,17,2,2,21.079566390216755,105.7815762715016,21.03183314192911,105.80080413860159,rainy,7,10,54,motorbike,4.4,6,46000.0,92000.0
R000017,2.0,10.0,2025-02-11 19:55:42.337967,19,1,2,21.049699478878285,105.75730802159377,21.062184915998987,105.7694489983664,sunny,6,19,41,4_seater_car,4.9,15,40000.0,51000.0
R000018,4.5,22.0,2025-02-13 09:19:26.337967,9,3,2,21.02627532439608,105.80966677903257,21.027462435997595,105.75696670089674,sunny,5,10,72,motorbike,5.0,22,45000.0,80000.0
R000019,7.0,30.0,2025-02-21 21:37:14.337967,21,4,2,21.02216571440256,105.8111091240723,20.991655106420446,105.77246061630397,rainy,3,18,47,motorbike,4.4,2,70000.0,89000.0
R000020,5.4,28.0,2025-02-25 17:15:23.337967,17,1,2,20.986348290064743,105.79756516754782,21.03018824633186,105.8421624713846,rainy,7,14,45,motorbike,4.4,43,54000.0,86000.0
R000021,2.7,16.0,2025-03-09 07:41:21.337967,7,6,3,21.048706569354813,105.77227881733734,20.986628465245502,105.76140411110457,heavy_rain,6,11,61,4_seater_car,4.4,11,54000.0,137000.0
R000022,3.7,15.0,2025-02-25 11:48:53.337967,11,1,2,20.986225157417078,105.8465406261616,21.050597401925184,105.75778235910143,rainy,5,26,64,motorbike,4.5,31,37000.0,44000.0
R000023,4.6,22.0,2025-03-05 19:02:00.337967,19,2,3,20.995813042820064,105.82125748516462,21.002691014524252,105.80457926232178,sunny,7,19,29,motorbike,3.9,32,46000.0,55000.0
R000024,3.7,19.0,2025-03-09 17:30:15.337967,17,6,3,20.995011617463337,105.83836065193462,21.035723061353313,105.7802194630994,sunny,7,25,60,4_seater_car,5.0,22,74000.0,91000.0
R000025,3.3,15.0,2025-02-22 07:08:09.337967,7,5,2,21.070810420118033,105.80237272346801,21.034387505915944,105.78965547133734,rainy,7,14,36,motorbike,4.8,9,33000.0,52000.0
R000026,1.5,8.0,2025-03-05 18:09:24.337967,18,2,3,20.992506406217935,105.77179349723045,21.027360621787768,105.82108522908416,rainy,4,23,38,motorbike,5.0,16,15000.0,22000.0
R000027,3.1,15.0,2025-02-20 09:09:35.337967,9,3,2,21.000457695407796,105.76554965880804,21.032038799167257,105.76285163364817,sunny,7,20,64,7_seater_car,4.9,32,93000.0,124000.0
R000028,5.1,23.0,2025-02-12 12:06:42.337967,12,2,2,21.023662703082287,105.80592077917387,21.028862006869446,105.8400720084831,rainy,3,13,46,4_seater_car,4.9,2,102000.0,141000.0
R000029,6.9,27.0,2025-02-16 05:29:07.337967,5,6,2,20.986600342747135,105.84026937513116,21.04256535570212,105.76562602842013,rainy,2,14,37,7_seater_car,4.7,34,207000.0,251000.0
